course_title,course_field,diff_level
Objective-C for Swift Developers,School of Programming & Development,Intermediate
Software Testing,School of Programming & Development,Intermediate
Interactive 3D Graphics,School of Programming & Development,Intermediate
Full Stack Foundations,School of Programming & Development,Intermediate
High Performance Computer Architecture,School of Programming & Development,Advanced
AutoLayout,School of Programming & Development,Intermediate
Kotlin Bootcamp for Programmers,School of Programming & Development,Intermediate
Shell Workshop,School of Programming & Development,
Core ML: Machine Learning for iOS,School of Programming & Development,Intermediate
Statistics,School of Programming & Development,Beginner
Intro to Theoretical Computer Science,School of Programming & Development,Intermediate
Design of Computer Programs,School of Programming & Development,Advanced
Data Wrangling with MongoDB,School of Programming & Development,Intermediate
Swift for Developers,School of Programming & Development,Beginner
Firebase in a Weekend: Android,School of Programming & Development,Intermediate
Software Debugging,School of Programming & Development,Intermediate
Deploying a Hadoop Cluster,School of Programming & Development,Intermediate
Server-Side Swift,School of Programming & Development,Intermediate
Programming Languages,School of Programming & Development,Intermediate
Networking for Web Developers,School of Programming & Development,Beginner
Intro to Physics,School of Programming & Development,Beginner
Intro to Relational Databases,School of Programming & Development,Intermediate
ES6 - JavaScript Improved,School of Programming & Development,Advanced
Mobile Design and Usability for iOS,School of Programming & Development,Intermediate
Intro to AJAX,School of Programming & Development,Intermediate
Intro to Algorithms,School of Programming & Development,Intermediate
The MVC Pattern in Ruby,School of Programming & Development,Intermediate
WeChat Mini Program Development,School of Programming & Development,Beginner
Asynchronous JavaScript Requests,School of Programming & Development,Intermediate
Embedded Systems,School of Programming & Development,Intermediate
High Performance Computing,School of Programming & Development,Advanced
HTTP & Web Servers,School of Programming & Development,Intermediate
AdvancedAndroid with Kotlin,School of Programming & Development,Intermediate
"Computability, Complexity & Algorithms",School of Programming & Development,Advanced
AdvancedOperating Systems,School of Programming & Development,Advanced
Passwordless Login Solutions for iOS,School of Programming & Development,Intermediate
Version Control with Git,School of Programming & Development,Beginner
Firebase in a Weekend: iOS,School of Programming & Development,Intermediate
Intro to Point & Click App Development,School of Programming & Development,Beginner
Deploying Applications with Heroku,School of Programming & Development,Intermediate
Applied Cryptography,School of Programming & Development,Advanced
Java Programming Basics,School of Programming & Development,Beginner
C++ For Programmers,School of Programming & Development,Intermediate
Intro to Backend,School of Programming & Development,Intermediate
JavaScript and the DOM,School of Programming & Development,Intermediate
Firebase Analytics: Android,School of Programming & Development,Intermediate
Configuring Linux Web Servers,School of Programming & Development,
How to Make an iOS App,School of Programming & Development,Advanced
Intro to DevOps,School of Programming & Development,Advanced
Google Maps APIs,School of Programming & Development,Intermediate
Passwordless Login Solutions for Android,School of Programming & Development,
Mobile Design and Usability for Android,School of Programming & Development,Intermediate
iOS Design Patterns,School of Programming & Development,Intermediate
Intro to Psychology,School of Programming & Development,Beginner
Engagement & Monetization | Mobile Games,School of Programming & Development,Beginner
Material Design for Android Developers,School of Programming & Development,Intermediate
Craft Your Cover Letter,Career Advancement,Beginner
Refresh Your Resume,Career Advancement,Beginner
Strengthen Your LinkedIn Network & Brand,Career Advancement,Beginner
Data Science Interview Prep,Career Advancement,Intermediate
Android Interview Prep,Career Advancement,Intermediate
Machine Learning Interview Preparation,Career Advancement,Intermediate
Front-End Interview Prep,Career Advancement,Intermediate
Full-Stack Interview Prep,Career Advancement,Intermediate
Data Structures & Algorithms in Swift,Career Advancement,Intermediate
iOS Interview Prep,Career Advancement,Intermediate
VR Interview Prep,Career Advancement,Intermediate
Ultimate Investment Banking Course,Business Finance,All Levels
Complete GST Course & Certification - Grow Your CA Practice,Business Finance,All Levels
Financial Modeling for Business Analysts and Consultants,Business Finance,Intermediate Level
Beginner to Pro - Financial Analysis in Excel 2017,Business Finance,All Levels
How To Maximize Your Profits Trading Options,Business Finance,Intermediate Level
Trading Penny Stocks: A Guide for All Levels In 2017,Business Finance,All Levels
Investing And Trading For Beginners: Mastering Price Charts,Business Finance,Beginner Level
"Trading Stock Chart Patterns For Immediate, Explosive Gains",Business Finance,All Levels
Options Trading 3 : Advanced Stock Profit and Success Method,Business Finance,Expert Level
The Only Investment Strategy You Need For Your Retirement,Business Finance,All Levels
Forex Trading Secrets of the Pros With Amazon's AWS,Business Finance,All Levels
Trading Options With Money Flow,Business Finance,All Levels
Financial Management Risk and Return For Securities,Business Finance,All Levels
